class, ncloc, cloc, dc, testMethodsLoc, numberOfMethods, numberOfTestMethods, numberOfFunctionalMethods, rfc, wmc, gitFileAge, gitTotCommits
org.jfree.chart.axis.DateTickTest, 61, 61, 0.5, 59, 4, 4, 0, 8, 4, January/3/2022/6:42, 8
org.jfree.chart.plot.dial.StandardDialScaleTest, 134, 97, 0.4199134199134199, 131, 6, 6, 0, 27, 6, January/3/2022/6:42, 10
org.jfree.chart.renderer.xy.XYStepAreaRendererTest, 78, 79, 0.5031847133757962, 53, 6, 5, 1, 19, 7, January/3/2022/6:42, 12
org.jfree.chart.TimeSeriesChartTest, 55, 98, 0.6405228758169934, 24, 5, 2, 3, 19, 8, January/3/2022/6:42, 8
org.jfree.chart.BarChartTest$LocalListener, 6, 159, 0.9636363636363636, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 9
org.jfree.chart.urls.CustomPieURLGeneratorTest, 39, 64, 0.6213592233009708, 37, 4, 4, 0, 10, 4, January/3/2022/6:42, 10
org.jfree.chart.plot.CategoryPlotTest, 763, 355, 0.31753130590339895, 735, 37, 35, 2, 109, 48, January/3/2022/6:42, 19
org.jfree.chart.internal.ShapeUtilsTest, 50, 70, 0.5833333333333334, 48, 5, 5, 0, 11, 5, January/1/2022/2:44, 3
org.jfree.chart.axis.DateAxisTest, 779, 266, 0.2545454545454545, 752, 25, 23, 2, 46, 178, January/3/2022/6:42, 14
org.jfree.chart.plot.FastScatterPlotTest, 115, 85, 0.425, 91, 6, 4, 2, 21, 8, January/3/2022/6:42, 9
org.jfree.chart.renderer.category.IntervalBarRendererTest, 64, 90, 0.5844155844155844, 48, 7, 6, 1, 16, 8, January/3/2022/6:42, 11
org.jfree.chart.plot.RingPlotTest, 69, 71, 0.5071428571428571, 67, 3, 3, 0, 18, 3, January/3/2022/6:42, 8
org.jfree.chart.renderer.category.BarRendererTest, 147, 117, 0.4431818181818182, 145, 9, 9, 0, 43, 9, January/3/2022/6:42, 17
org.jfree.chart.renderer.xy.YIntervalRendererTest, 122, 90, 0.42452830188679247, 120, 6, 6, 0, 27, 6, January/3/2022/6:42, 15
org.jfree.chart.JFreeChartTest, 239, 170, 0.4156479217603912, 225, 14, 12, 2, 38, 20, January/3/2022/6:42, 20
org.jfree.chart.labels.BubbleXYItemLabelGeneratorTest, 87, 79, 0.4759036144578313, 85, 6, 6, 0, 11, 6, January/3/2022/6:42, 10
org.jfree.chart.axis.CategoryLabelWidthTypeTest, 20, 56, 0.7368421052631579, 18, 3, 3, 0, 4, 3, January/3/2022/6:42, 6
org.jfree.chart.annotations.CategoryPointerAnnotationTest, 76, 81, 0.5159235668789809, 74, 5, 5, 0, 19, 5, January/3/2022/6:42, 9
org.jfree.chart.renderer.xy.XYDifferenceRendererTest, 85, 95, 0.5277777777777778, 83, 6, 6, 0, 22, 7, January/3/2022/6:42, 14
